conductorMaterial,cableCoreArrangement,cableType,circuitType,description,unenclosed_spaced.current,unenclosed_spaced.installTemp,unenclosed_spaced.cableArrangement,unenclosed_surface.current,unenclosed_surface.installTemp,unenclosed_surface.cableArrangement,unenclosed_touching.current,unenclosed_touching.installTemp,unenclosed_touching.cableArrangement,enclosed_conduit.current,enclosed_conduit.installTemp,enclosed_conduit.cableArrangement,enclosed_partial.current,enclosed_partial.installTemp,enclosed_partial.cableArrangement,enclosed_complete.current,enclosed_complete.installTemp,enclosed_complete.cableArrangement,buried_direct.current,buried_direct.installTemp,buried_direct.cableArrangement,ducts_single.current,ducts_single.installTemp,ducts_single.cableArrangement,ducts_per_cable.current,ducts_per_cable.installTemp,ducts_per_cable.cableArrangement,activeCores.size,activeCores.sizeUnit,activeCores.number,neutralCores.size,neutralCores.sizeUnit,neutralCores.number,earthCores.size,earthCores.sizeUnit,earthCores.number,insulation.name,insulation.code,insulation.conductorTemperature,insulation.maxTemperature,sheath,CableScreen.name,CableScreen.faultWithstand,armoured,CoreScreen.type,voltRating,isFlex,impedance.MVAM,impedance.rOhmsPerKM,impedance.xOhmsPerKM,impedance.zOhmsPerKM,manufacturer.name,manufacturer.partNumber,rev.number,rev.date
AL,1C,ACTIVE,SINGLE,1C 25MM2 AL XLPE/PVC X-90 0.6/1kV,117,40,NIL,112,40,NIL,91,40,NIL,87,40,NIL,70,40,NIL,45,40,NIL,139,25,NIL,102,25,NIL,114,25,NIL,25,MM2,1,0,-,0,0,-,0,XLPE,X-90,90,250,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,3.08,0,0,0,Olex,,A,
AL,1C,ACTIVE,SINGLE,1C 35MM2 AL XLPE/PVC X-90 0.6/1kV,144,40,NIL,137,40,NIL,111,40,NIL,105,40,NIL,84,40,NIL,56,40,NIL,167,25,NIL,122,25,NIL,136,25,NIL,35,MM2,1,0,-,0,0,-,0,XLPE,X-90,90,250,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,2.24,0,0,0,Olex,,A,
AL,1C,ACTIVE,SINGLE,1C 50MM2 AL XLPE/PVC X-90 0.6/1kV,177,40,NIL,167,40,NIL,136,40,NIL,129,40,NIL,103,40,NIL,0,40,NIL,198,25,NIL,147,25,NIL,164,25,NIL,50,MM2,1,0,-,0,0,-,0,XLPE,X-90,90,250,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,1.65,0,0,0,Olex,,A,
AL,1C,ACTIVE,SINGLE,1C 70MM2 AL XLPE/PVC X-90 0.6/1kV,226,40,NIL,212,40,NIL,174,40,NIL,159,40,NIL,127,40,NIL,0,40,NIL,243,25,NIL,181,25,NIL,200,25,NIL,70,MM2,1,0,-,0,0,-,0,XLPE,X-90,90,250,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,1.15,0,0,0,Olex,,A,
AL,1C,ACTIVE,SINGLE,1C 95MM2 AL XLPE/PVC X-90 0.6/1kV,280,40,NIL,262,40,NIL,216,40,NIL,198,40,NIL,158,40,NIL,0,40,NIL,291,25,NIL,221,25,NIL,239,25,NIL,95,MM2,1,0,-,0,0,-,0,XLPE,X-90,90,250,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,0.84,0,0,0,Olex,,A,
AL,1C,ACTIVE,SINGLE,1C 120MM2 AL XLPE/PVC X-90 0.6/1kV,328,40,NIL,305,40,NIL,253,40,NIL,226,40,NIL,181,40,NIL,0,40,NIL,332,25,NIL,252,25,NIL,278,25,NIL,120,MM2,1,0,-,0,0,-,0,XLPE,X-90,90,250,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,0.672,0,0,0,Olex,,A,
AL,1C,ACTIVE,SINGLE,1C 150MM2 AL XLPE/PVC X-90 0.6/1kV,377,40,NIL,350,40,NIL,291,40,NIL,255,40,NIL,204,40,NIL,0,40,NIL,372,25,NIL,283,25,NIL,311,25,NIL,150,MM2,1,0,-,0,0,-,0,XLPE,X-90,90,250,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,0.557,0,0,0,Olex,,A,
AL,1C,ACTIVE,SINGLE,1C 185MM2 AL XLPE/PVC X-90 0.6/1kV,439,40,NIL,406,40,NIL,340,40,NIL,301,40,NIL,241,40,NIL,0,40,NIL,423,25,NIL,329,25,NIL,359,25,NIL,185,MM2,1,0,-,0,0,-,0,XLPE,X-90,90,250,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,0.455,0,0,0,Olex,,A,
AL,1C,ACTIVE,SINGLE,1C 240MM2 AL XLPE/PVC X-90 0.6/1kV,527,40,NIL,485,40,NIL,408,40,NIL,360,40,NIL,288,40,NIL,0,40,NIL,492,25,NIL,388,25,NIL,417,25,NIL,240,MM2,1,0,-,0,0,-,0,XLPE,X-90,90,250,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,0.363,0,0,0,Olex,,A,
AL,1C,ACTIVE,SINGLE,1C 300MM2 AL XLPE/PVC X-90 0.6/1kV,612,40,NIL,562,40,NIL,473,40,NIL,0,40,NIL,0,40,NIL,0,40,NIL,556,25,NIL,440,25,NIL,482,25,NIL,300,MM2,1,0,-,0,0,-,0,XLPE,X-90,90,250,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,0.307,0,0,0,Olex,,A,
AL,1C,ACTIVE,SINGLE,1C 400MM2 AL XLPE/PVC X-90 0.6/1kV,723,40,NIL,660,40,NIL,559,40,NIL,0,40,NIL,0,40,NIL,0,40,NIL,638,25,NIL,516,25,NIL,553,25,NIL,400,MM2,1,0,-,0,0,-,0,XLPE,X-90,90,250,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,0.261,0,0,0,Olex,,A,
AL,1C,ACTIVE,SINGLE,1C 500MM2 AL XLPE/PVC X-90 0.6/1kV,850,40,NIL,772,40,NIL,656,40,NIL,0,40,NIL,0,40,NIL,0,40,NIL,729,25,NIL,590,25,NIL,632,25,NIL,500,MM2,1,0,-,0,0,-,0,XLPE,X-90,90,250,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,0.228,0,0,0,Olex,,A,
AL,1C,ACTIVE,SINGLE,1C 630MM2 AL XLPE/PVC X-90 0.6/1kV,1003,40,NIL,904,40,NIL,772,40,NIL,0,40,NIL,0,40,NIL,0,40,NIL,833,25,NIL,695,25,NIL,740,25,NIL,630,MM2,1,0,-,0,0,-,0,XLPE,X-90,90,250,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,0.204,0,0,0,Olex,,A,
